Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
At5g62930,114,124,108,111,93,28,70,47,26,74,30
At5g63440,54,48,56,51,63,23,33,22,21,39,13
atad-3,41,52,52,38,59,0,33,1,1,2,2
atad3-a,40,58,42,36,38,1,30,1,2,3,1
ATG101,43,45,28,42,34,16,27,23,14,28,16
ATG3,174,184,145,118,153,37,92,22,29,58,19
ATG7,84,72,77,76,71,41,49,65,62,130,37
atg9,1245,1124,995,881,967,307,607,370,412,749,258
ATL14,122,90,92,93,94,32,68,43,37,71,19
ATL41,0,5,5,1,0,30,7,37,29,70,18
ATL5,89,89,107,80,69,20,68,34,37,86,12
ATL73,116,110,102,92,104,25,74,39,58,103,21
ATL79,25,42,19,22,27,8,19,10,5,7,3
ATM,150,239,248,194,267,57,171,71,63,182,49
ATP13A4,5,15,7,10,11,34,10,22,32,67,32
ATP1A4,93,114,94,109,99,63,87,48,59,95,28
Atp5b,257,281,324,262,337,138,223,141,130,307,84
ATP5C1,31,45,51,40,42,14,46,17,30,42,13
Atp7b,37,42,44,18,22,15,19,12,14,26,4
ATP8B1,5,11,14,9,12,14,8,3,5,18,9
ATP8B2,201,237,198,228,199,88,148,113,118,244,85
ATPAF2,65,71,75,75,49,23,27,35,32,82,19
Atpalpha,23,27,29,21,38,31,27,28,25,47,15
ATR2,101,130,146,96,75,2,40,8,14,45,36
atsA,12,16,9,5,7,4,11,4,4,6,2
Atxn3,176,214,169,240,235,77,170,95,99,228,63
atzF,40,44,39,49,59,50,41,64,48,103,23
aurkb,52,70,54,70,93,45,72,47,68,132,43
aurkb-a,65,74,82,64,76,27,45,32,29,57,13
ausM,16,25,11,18,16,13,19,12,17,40,15
AY601_4021,118,163,154,131,142,99,119,75,103,196,79
AZG1,52,99,121,67,67,60,64,34,56,102,46
B''BETA,505,578,506,613,589,158,370,175,195,433,133
B3GALT5,41,32,25,12,10,6,14,13,7,22,6
B3GLCT,26,30,18,8,8,16,9,12,10,13,7
Bace2,222,205,224,212,291,133,185,151,178,281,99
BACOVA_02645,126,143,155,102,103,35,91,28,27,58,27
bah,183,199,156,163,181,93,126,117,101,258,93
BAK1,11,15,14,7,25,4,10,9,9,10,3
bamB,102,107,105,61,77,30,52,55,40,66,26
BASS2,208,230,233,172,160,45,116,37,46,106,32
BASS4,168,223,230,182,186,75,155,89,103,191,63
Bbs4,1320,1732,1731,1325,1501,823,1056,785,762,1483,512
BBS7,229,261,273,207,281,57,154,64,61,123,48
BBX19,220,238,269,176,167,80,117,60,78,151,40
bcas2,23,27,27,71,65,20,53,29,18,48,8
BCAT2,574,703,684,375,544,357,374,265,316,620,156
Bckdk,37,43,43,35,49,4,32,13,12,14,6
bcp1,34,34,41,35,50,14,41,24,24,40,7
BCS1,62,69,75,55,44,26,31,26,25,56,7
BDH1,24,23,26,7,13,10,10,9,7,11,5
beg,40,62,39,42,44,9,25,22,20,21,10
BGL1B,29,34,21,17,20,25,16,21,31,67,10
bglA,86,144,145,108,119,19,59,16,22,60,18
bglB,252,316,306,145,197,81,150,75,56,182,70
BGLU42,6,7,4,1,2,2,3,3,4,5,6
BHLH140,249,322,340,213,234,101,175,132,137,321,72
BIG4,224,251,251,193,208,103,137,155,104,269,76
bimG,19,16,14,12,7,4,13,4,4,15,3
BIO2,22,33,44,22,27,0,23,3,2,8,7
bioC,30,32,43,36,39,8,18,12,11,21,11
bkdA,222,228,227,165,198,77,143,81,88,165,37
Bm1_04115,92,105,76,74,103,21,50,24,28,60,21
BMS1,2802,2878,2377,2074,1808,1619,2229,1826,1715,2725,1330
BOB1,130,156,140,116,140,69,79,65,65,162,47
bor,12,20,16,12,9,5,11,11,12,26,9
bos1,54,56,49,72,62,27,45,26,28,76,19
BP80,341,476,506,393,499,148,337,247,205,450,165
bre-4,19,36,23,17,19,18,21,19,14,38,14
BRIX1,186,219,174,223,224,85,137,83,85,164,68
BRPF1,114,159,169,97,103,143,98,150,195,364,139
BRR2C,31,53,45,45,40,45,39,29,36,64,21
BSAL_77750,14,15,18,5,11,8,12,5,5,12,4
BSL1,105,135,163,122,170,87,100,69,94,164,54
bsp6IM,281,374,380,331,436,189,272,189,187,417,118
BT_0258,75,96,112,63,94,11,37,19,25,31,19
BT4,53,41,57,52,36,17,36,14,17,37,7
BTBD2,39,48,36,44,34,29,31,42,41,58,18
Btf3,87,116,114,53,44,28,34,35,31,80,24
btf3l4,50,66,81,52,69,27,37,20,23,43,19
BTU1,322,330,363,390,537,228,385,258,310,381,210
bud20,89,97,73,74,71,23,45,28,29,57,15
BUD31,108,116,119,87,114,48,58,45,42,84,29
Bug22,211,249,261,211,253,99,133,101,88,169,45
BURPS1710b_2304,33,49,27,87,63,50,47,38,45,72,21
BXL4,98,135,170,99,116,105,99,66,79,189,71
bxlB,152,209,165,108,136,80,99,55,60,153,45
C23G10.1,68,71,77,56,38,14,23,11,7,27,4
C28H8.4,22,34,24,18,33,9,17,9,12,36,10
C42C1.13,315,360,380,264,341,144,215,136,145,311,111
Ca-alpha1D,23,39,32,21,23,6,21,13,17,32,14
CA14,50,58,92,61,50,42,43,34,38,74,39
Cabp1,50,51,46,59,78,42,73,68,78,161,63
CACNA1S,0,2,0,0,1,0,0,0,1,1,1
CAD2,371,503,485,249,252,137,181,94,106,272,86
caf1,9,30,42,16,75,31,42,35,26,73,27
CAF1-10,6,1,8,3,2,1,3,0,3,2,1
calA,67,90,63,68,60,21,40,20,27,53,15
Calmodulin,34,53,55,49,47,15,38,17,21,40,17
CALS5,101,134,115,13,17,13,19,26,18,45,29
camD,28,36,57,31,48,6,26,11,10,17,1
CAMF1,475,371,327,433,539,209,402,211,204,434,153
Camk1g,13,8,14,3,3,1,9,4,7,19,14
CAMK2A,60,69,59,41,37,19,24,16,16,34,8
CAND1,103,100,97,76,71,25,44,34,35,73,22
Cant1,48,73,57,78,103,49,53,44,46,130,38
Capn1,46,58,50,38,20,22,21,24,31,44,26
Capn8,165,192,184,165,158,38,101,53,45,133,35
Capn9,32,46,40,36,32,26,24,40,28,61,23
casA,58,83,64,54,55,38,40,70,99,123,47
Caskin1,4,10,6,6,8,2,5,12,9,8,2
CASKIN2,207,220,237,182,225,169,171,133,130,231,50
CASTOR,325,354,408,279,358,147,247,138,192,331,162
CAT1,1,2,2,2,2,9,2,7,5,20,21
CAT2,10,15,9,13,20,2,11,3,5,5,2
CAT9,43,44,46,78,67,21,39,27,34,57,32
CATB,320,450,402,302,351,175,244,122,141,314,100
catD,104,124,132,87,111,38,88,36,48,103,38
cbg-1,9,12,10,7,20,8,10,7,8,19,7
cbh,169,207,201,126,111,33,81,34,32,60,33
cbh2,45,43,46,42,62,49,62,38,53,96,26
cbhA,98,99,107,79,103,74,72,62,60,113,31
cbhB,144,204,190,115,152,106,129,90,127,193,46
CBP3,34,57,39,20,40,18,33,21,32,76,21
Cbr3,8,4,5,1,2,1,2,0,2,3,0
CBSDUF5,62,97,65,79,75,54,67,49,53,101,43
CBWD6,30,39,33,29,35,16,20,28,24,38,12
CCA1,87,102,104,96,121,40,65,37,38,74,20
CCB4,24,29,25,25,29,3,18,12,10,23,3
CCC1,226,253,245,218,303,79,179,92,88,173,75
Ccdc104,34,58,77,41,74,74,76,45,61,128,32
ccdc124,124,118,111,136,118,34,70,39,45,66,28
CCDC13,451,543,579,297,403,419,324,394,400,893,246
ccdc135,3,5,9,4,8,8,7,9,7,21,6
Ccdc151,88,87,71,47,45,77,59,71,81,225,62
CCDC19,30,38,37,29,41,8,28,10,16,20,8
ccdc25,47,79,54,70,62,50,57,36,30,82,24
Ccdc38,76,98,115,107,179,105,107,87,84,172,67
Ccdc40,29,32,39,22,27,27,20,14,14,43,12
Ccdc65,164,208,192,335,330,143,233,142,131,289,101
CCNA2,102,131,126,67,147,77,108,65,87,159,67
ccp-1,265,329,325,355,415,159,271,193,181,416,117
CCR4,54,62,68,51,42,55,28,65,52,115,45
CCR4-1,109,120,122,231,229,75,142,80,85,136,53
CCRP1,232,293,352,277,354,159,196,150,161,306,105
CCS1,253,288,263,242,260,57,139,60,57,127,34
ccsA,128,164,197,135,175,59,122,50,70,148,43
cct-5,58,59,61,31,69,25,44,27,28,42,15
cct4,317,352,338,327,325,127,233,135,144,276,94
CCT6A,528,600,585,559,710,149,370,156,167,299,100
cdc-14,18,26,29,16,24,8,17,8,13,20,5
CDC123,2,3,6,1,10,6,6,4,2,7,6
CDC14,267,318,312,246,249,104,186,94,89,195,66
Cdc14b,85,104,115,71,109,81,75,67,67,127,61
cdc22,104,155,129,113,99,58,60,67,57,122,45
CDC25,72,68,65,48,31,28,26,15,26,57,21
Cdc27,103,158,144,142,142,84,92,61,75,146,68
CDC28,20,23,25,23,38,26,19,18,22,38,16
CDC33,98,114,119,90,144,67,85,79,96,151,53
CDC73,252,304,295,262,266,84,199,77,84,159,45
Cdk1,139,138,130,106,109,0,47,1,1,1,3
Cdk10,48,53,72,50,66,22,47,26,29,52,29
cdk20,326,408,381,273,282,132,211,145,113,211,95
CDKA-1,255,327,314,133,211,153,162,158,133,288,91
CDKB2-1,69,67,88,46,31,7,21,7,10,24,6
Cdkn3,5,4,12,9,11,3,8,5,3,10,1
CDO1,15,22,9,8,7,2,2,0,3,2,0
ce2C,25,33,38,30,36,11,25,8,9,18,5
Cel,116,144,111,110,99,124,113,116,155,277,115
cel3,44,45,61,42,53,17,35,13,20,28,8
celB,254,314,273,198,227,58,108,48,55,112,39
CELF1,43,63,48,34,30,29,36,41,33,52,23
cep170b,112,141,146,84,95,3,58,8,8,19,20
CES2,46,67,60,50,44,1,21,3,5,10,4
CETN3,30,46,36,34,20,17,25,3,12,14,8
cfa,77,88,58,145,157,36,94,48,60,119,38
CFAP251,141,182,214,174,175,123,139,104,122,255,72
cfap36,55,48,41,48,54,11,36,19,19,27,7
CFAP44,63,67,107,49,113,91,66,64,74,146,46
CFAP46,153,164,150,124,128,33,76,34,43,67,32
Cfap57,45,65,89,53,51,20,42,19,18,33,18
CFAP74,313,435,454,336,411,90,253,91,99,214,69
CG1090,70,78,110,55,50,35,55,53,75,152,36
CG11985,110,107,92,91,117,23,79,23,41,71,18
CG17486,17,18,12,11,20,7,8,13,17,27,8
CG3570,163,146,140,136,140,71,98,66,59,88,28
CG4502,196,206,208,173,186,73,118,75,73,140,48
CG5038,16,23,12,38,24,22,14,17,29,52,11
CG6353,8,13,14,15,16,14,21,15,19,42,9
CGI_10006889,27,54,36,38,41,34,26,23,31,71,26
CGI_10009638,15,13,11,5,7,16,11,12,11,30,11
cgt,281,328,339,269,293,142,193,125,150,302,93
Ch25h,40,44,38,43,42,39,34,48,47,63,14
Chc,34,47,32,19,23,8,23,16,15,29,4
Chdh,146,188,224,158,190,71,123,66,80,171,56
Chek2,68,74,70,88,106,74,63,71,61,130,34
cheR,31,48,37,58,97,30,57,26,33,89,39
CHERP,49,66,67,63,70,20,28,33,34,62,12
CHIA,85,144,195,76,125,82,99,68,65,168,49
CHISP_0473,40,53,42,37,40,16,31,26,25,52,21
chk1,7,16,15,13,9,5,5,11,15,10,4
CHL1,7,8,7,5,6,21,14,26,17,31,7
CHLREDRAFT_128420,188,294,236,270,300,199,211,164,146,393,140
CHLREDRAFT_190403,76,106,97,77,70,25,41,9,24,47,9
CHLREDRAFT_194276,21,15,10,43,29,12,24,16,19,44,11
CHR23,55,57,54,50,47,13,29,9,11,23,13
CHR24,74,88,65,80,86,13,52,19,17,42,8
Chro.40360,820,690,676,814,713,516,623,418,474,792,301
cid1,6,19,21,16,16,13,8,10,6,13,8
cid16,306,397,413,166,221,143,133,132,145,352,122
CIP111,8,10,5,13,2,9,7,3,9,17,6
CIPK11,2,1,1,0,2,7,2,10,10,11,5
CIPK28,95,128,114,29,48,40,37,58,51,82,20
CIPK7,201,237,267,142,323,134,230,119,133,281,70
CKA4,404,415,373,510,506,179,345,212,216,425,156
CKB1,144,185,164,118,124,57,69,46,57,92,31
CKL8,178,209,207,191,252,85,149,94,79,141,25
CKMT2,16,14,23,20,63,15,38,11,16,46,12
cks-1,35,37,37,28,24,10,18,12,12,19,5
CLA4,427,470,462,392,406,152,245,133,160,290,105
Clasp1,24,55,48,53,47,10,32,11,20,24,13
CLC-B,169,202,204,88,100,58,78,48,49,122,37
CLCN1,104,134,145,83,149,53,73,37,45,93,39
CLCN5,8,10,11,5,9,6,7,15,22,29,17
Clcn7,115,126,131,83,106,45,80,48,59,116,25
Clk1,97,142,152,106,90,39,57,37,50,88,23
CLMP1,563,637,577,435,432,174,333,192,191,379,110
CLPB1,320,425,571,375,659,385,438,483,550,1105,347
clpP2,113,124,154,126,158,80,90,111,93,206,55
clpR,147,181,156,132,190,108,125,117,108,254,60
clpS,71,78,72,80,75,16,44,23,34,61,16
cls1,221,291,274,188,184,89,139,91,86,203,56
CLT2,29,36,59,35,23,10,14,9,8,15,3
cmd-1,138,142,111,126,123,23,67,30,23,39,17
cmk-1,81,72,62,55,73,20,34,27,9,49,7
CML13,198,292,273,210,340,158,223,147,142,362,99
CML16,281,370,337,299,338,182,240,159,175,394,149
CML18,195,244,201,307,299,100,245,100,95,205,93
CML6,83,101,92,86,69,51,40,44,52,124,36
cmpk,9,22,20,12,15,24,12,13,28,40,7
cmpk1,29,33,50,20,21,47,21,37,62,101,25
CngA,93,118,148,49,74,7,45,5,13,44,32
CNGA1,50,63,85,79,121,26,78,35,46,79,33
CNJC,188,164,166,91,104,88,76,93,82,171,50
CNN3,308,411,317,186,237,228,215,239,233,538,141
cnot1,47,71,49,51,86,23,43,38,39,78,29
Cnot10,418,422,451,354,444,91,233,84,136,211,95
cnot11,115,135,121,122,112,44,81,50,62,109,37
Cnot4,174,226,240,167,179,93,146,67,76,196,51
coaE,14,15,28,14,21,14,17,10,14,42,14
cobB,94,93,79,72,74,74,73,68,83,161,58
cocE,36,50,58,43,45,23,30,8,18,37,15
cofF,19,22,19,34,19,6,18,21,16,29,7
cofG,0,0,0,0,1,7,1,20,19,38,0
Cog5,177,196,202,131,170,25,111,29,34,87,70
COL6A2,112,129,102,103,127,63,71,52,57,139,54
comEB,19,17,27,21,11,5,16,10,7,20,3
copA,94,120,156,62,126,14,88,36,32,70,19
copb,76,118,119,82,188,75,106,75,82,158,45
COQ11,683,686,666,539,666,220,514,266,286,465,188
cox1/2,208,241,234,227,210,56,120,51,65,147,64
COX11,232,329,306,228,299,121,182,128,91,275,87
CP3,175,196,202,82,89,67,75,59,81,155,34
cpar-1,56,65,52,57,39,1,25,7,17,27,13
CPE0231,131,142,173,105,124,46,88,33,36,90,21
CPK15,123,103,110,79,126,69,80,71,72,172,60
CPK17,168,185,145,158,179,18,111,31,31,64,20
CPK25,81,113,117,68,113,76,65,74,81,152,47
CPK34,44,40,31,26,26,60,41,64,59,136,59
CPK7,89,116,78,92,71,58,51,70,71,159,40
CPK8,3,5,4,2,5,16,6,8,12,17,5
CPN60I,70,98,95,109,76,67,72,74,71,146,50
CPPED1,274,293,265,213,214,118,132,96,68,160,5
cpr-1,270,311,333,163,187,174,153,171,176,369,105
cpr-5,15,18,12,8,7,6,2,3,5,8,5
cpr-c2,96,106,125,89,119,41,81,42,48,109,30
cprA,145,142,127,96,107,110,74,128,108,254,101
cprG,18,12,11,11,12,14,7,17,15,33,8
cpsf3,31,44,54,35,48,19,28,17,13,49,8
CPSF30,130,138,145,106,90,34,67,54,49,100,38
cpsf5,35,41,56,29,38,52,30,39,34,80,31
cpt,47,56,59,45,55,39,45,30,34,68,25
CPX1,80,79,88,140,162,63,108,93,119,208,47
cr-1,163,243,275,181,354,197,251,175,207,409,108
CRBN,358,395,404,249,256,141,177,136,157,335,86
CRK,79,72,89,51,60,27,50,37,32,61,24
CRK1,204,216,182,155,123,56,78,58,50,109,48
CRK2,214,222,183,151,159,33,128,43,49,98,29
CRK6,65,62,60,39,20,12,24,10,14,20,11
CRMB1,79,118,124,102,118,72,102,71,77,133,66
crop,148,165,145,133,145,52,94,49,46,95,33
crp-46,120,110,106,144,179,24,91,59,52,65,35
crt,36,46,47,30,43,9,26,14,17,22,9
CRTISO1,271,286,289,239,236,98,183,128,104,214,72
CRTISO2,255,344,300,262,341,101,246,114,122,224,77
crtp1,102,121,150,95,113,67,73,70,76,166,50
crtp3,17,18,18,12,11,15,11,21,16,31,11
cry-dash,60,66,73,119,164,28,103,15,22,39,15
CRYZ,2,0,0,0,0,18,0,9,8,8,2
CSB,303,357,361,185,265,87,176,96,106,192,64
CSDE1,51,60,62,32,53,46,48,42,49,77,21
CSE,154,172,190,132,129,83,92,118,129,256,81
CSH1,27,29,22,30,22,3,22,12,9,17,5
cshE,234,350,381,251,316,92,217,100,95,262,61
CSM3,349,311,262,288,268,59,153,49,63,120,39
CSP41A,46,59,49,48,47,32,47,35,29,87,23
CSP41B,50,69,65,69,67,99,82,96,109,192,71
cspE,21,36,43,31,29,11,27,10,16,31,11
Cstb,59,66,58,61,46,21,29,27,21,41,16
Cstf2t,76,138,117,89,97,37,63,41,31,94,45
CSTF77,273,349,346,194,239,95,146,96,114,261,68
CTDSPL2,64,80,65,71,79,27,47,39,48,78,22
ctdspl2-b,357,416,413,380,394,130,248,137,131,267,98
CTHT_0041970.1,96,136,88,105,94,23,55,26,23,44,17
CTNNBL1,52,67,60,55,73,34,56,31,35,74,27
Ctob_000786,49,62,51,35,43,34,23,59,39,84,30
Ctob_001722,0,1,1,1,1,23,0,9,14,34,10
Ctob_005833,136,118,119,80,105,55,74,60,59,99,35
Ctob_010821,212,255,247,187,202,96,158,91,77,222,47
Ctob_012858,70,91,93,68,42,23,33,14,24,44,22
Ctob_015318,24,51,42,29,37,18,39,27,18,50,21
CTSB,594,721,724,471,506,274,350,203,231,563,174
Ctsz,166,192,213,123,193,25,106,31,33,77,23
CTTNBP2,25,46,33,25,30,6,13,12,9,13,6
cul-3,34,33,38,59,59,22,44,39,25,58,16
CUL3A,87,86,88,78,97,49,67,49,74,113,42
CUL3B,24,33,28,19,26,15,17,26,19,45,10
cwc2,34,32,46,43,29,17,24,14,24,44,14
CWC27,67,102,102,182,252,87,145,90,60,167,30
cya1,90,121,119,103,172,81,96,92,84,194,61
cyaA,178,194,170,111,176,141,115,168,146,341,90
CYB5D1,159,227,208,89,150,51,65,50,48,98,34
cyb5r1,6,3,3,13,15,12,9,9,14,21,6
Cyb5r4,25,41,44,34,34,26,24,18,20,41,11
CYCU4-1,158,191,150,120,129,53,117,53,69,138,50
cyn-7,35,49,56,55,52,46,42,39,38,105,22
CYP-1,223,240,203,201,209,88,159,70,99,225,50
CYP10,179,153,134,167,177,37,104,72,60,127,28
cyp120,131,164,192,127,119,41,79,35,47,94,32
cyp144,84,93,86,69,47,32,43,44,24,77,25
CYP19-2,169,198,156,151,119,65,84,58,52,118,28
CYP19-3,137,176,156,247,256,102,142,84,81,175,53
CYP24A1,61,96,88,34,27,31,25,16,26,28,7
CYP27A1,593,720,732,549,622,295,397,249,299,620,191
CYP3,98,116,121,86,102,31,77,30,41,81,17
CYP38,36,35,34,33,33,22,34,24,18,51,17
CYP40,229,306,242,216,215,29,136,81,78,153,28
CYP4C21,133,146,147,111,97,36,67,29,46,89,26
cyp5,434,461,455,461,447,149,290,153,166,340,87
CYP505,192,253,336,109,166,122,112,86,87,170,67
CYP71,121,144,136,148,142,69,109,85,64,176,56
CYP76B6,82,89,89,64,86,55,70,56,68,149,49
CYP94A1,73,102,111,50,84,25,56,22,29,59,29
CYP97A3,18,30,40,16,29,3,13,16,8,20,6
cys12,20,28,21,21,20,12,12,21,18,35,10
CYTB5-D,347,501,389,308,281,162,214,183,168,375,119
d2hgdh,94,113,108,74,127,33,80,51,43,82,32
D7OMT,1,6,6,10,5,2,5,3,4,9,2
dadA,79,96,82,78,73,29,47,35,37,62,24
daf-36,94,125,116,73,100,48,71,45,53,99,25
Dagla,281,368,336,216,209,108,134,114,88,201,47
dap4,117,135,151,113,203,77,117,72,74,189,53
DAPB2,139,172,144,161,190,78,136,60,81,145,51
davT,314,411,403,379,419,178,256,199,194,435,144
dbo,22,31,30,16,28,21,11,22,20,50,18
dbp9,196,280,272,253,325,119,221,122,125,269,74
dcakd,12,10,10,13,28,13,14,13,13,21,7
dcd2A,55,87,89,63,81,38,42,34,33,63,18
DCL2B,49,94,113,84,124,41,69,50,59,142,49
DCP5,259,285,299,235,251,140,177,157,178,308,91
Dcps,50,60,54,45,47,2,30,13,10,14,5
DCUN1D2,25,41,32,50,54,27,39,28,27,43,16
DCXR,62,71,80,51,67,32,41,27,31,53,29
ddaC,246,333,344,285,336,173,273,197,180,348,132
ddaD,15,12,24,19,26,20,20,15,18,31,13
DDB_G0267514,53,61,78,47,81,48,70,47,48,122,39
DDB_G0267588,6,6,2,5,6,6,3,3,6,19,3
DDB_G0269722,130,157,135,116,139,59,94,38,49,94,30
DDB_G0269880,288,374,373,307,406,192,293,218,227,419,145
DDB_G0270104,19,30,31,9,15,4,12,0,2,4,2
DDB_G0271682,72,88,110,51,146,88,89,68,92,159,63
DDB_G0272544,2,7,15,6,3,8,3,17,11,24,6
DDB_G0273199,289,376,397,194,465,373,362,405,533,1000,265
DDB_G0274201,63,57,65,38,63,10,30,10,14,30,16
DDB_G0274251,103,95,107,101,110,61,80,70,62,158,44
DDB_G0274527,88,129,130,94,130,33,83,32,29,64,18
DDB_G0275025,560,579,569,476,691,238,365,204,202,436,146
DDB_G0275057,205,264,256,185,142,57,92,50,32,93,43
DDB_G0276461,565,745,718,702,841,348,566,326,364,763,220
DDB_G0284019,306,375,346,222,275,121,155,99,128,273,76
DDB_G0284251,49,87,87,90,139,37,71,56,61,126,29
DDB_G0284661,14,10,15,6,6,2,6,3,3,5,0
DDB_G0286311,120,140,143,112,127,105,106,79,77,169,43
DDB_G0288475,2,6,4,1,5,10,8,4,6,17,6
DDB_G0290965,11,11,5,5,6,32,11,29,41,76,27
ddeIM,108,137,153,143,142,85,80,71,69,159,64
ddl,5,5,10,0,0,0,0,0,0,1,1
ddx21-b,62,105,114,73,100,78,61,76,67,167,49
DDX23,86,146,113,128,100,12,63,28,33,71,19
DDX5,65,91,93,74,113,36,74,52,42,93,22
DDX51,22,41,42,26,34,9,31,11,15,33,9
ddx52,37,39,30,28,20,13,18,10,7,30,7
Ddx54,54,105,88,79,96,49,73,66,59,146,35
DDX55,138,187,191,167,196,44,105,49,39,90,30
ddx6,195,272,249,253,292,160,220,142,159,296,87
def,23,22,26,17,24,11,14,17,20,32,14
DEGP2,12,16,7,9,10,5,5,18,10,20,10
denD,152,187,182,132,156,40,104,48,34,113,40
Depdc5,7,10,10,8,25,8,19,11,21,28,7
der,141,179,150,155,160,91,117,102,74,192,65
DER2.2,618,561,453,455,461,177,297,160,122,249,109
DES5,77,118,109,70,122,44,83,30,38,72,26
DESI1,134,196,141,149,154,62,99,67,61,157,54
DET1,39,56,53,40,42,36,32,30,31,67,17
DGAT2D,8,14,9,9,4,19,8,30,29,39,12
DGK3,246,307,309,183,225,117,139,85,89,235,55
Dgkg,7,7,7,5,7,4,2,9,8,26,3
DHAR2,44,54,55,39,54,30,43,27,21,50,16
DHC10,7,16,32,4,78,17,39,20,13,49,10
DHH1,47,67,45,53,48,30,40,38,38,50,19
Dhps,409,462,397,353,413,112,257,124,132,290,107
DHRS13,15,24,15,25,11,19,12,14,17,30,8
DHRSX,95,109,101,125,157,58,115,67,66,155,56
dhx29,17,29,19,21,21,26,20,26,39,58,17
DHX30,9,7,10,1,9,3,5,8,15,26,7
DHX8,35,61,50,40,41,36,35,61,57,121,40
DIP13,195,195,197,253,322,46,161,71,47,104,48
disp1,108,129,166,87,96,64,57,47,46,84,22
DIT2-1,87,106,102,72,90,40,60,55,53,100,25
dj-1beta,89,108,99,81,71,23,47,44,46,74,23
DJ1B,40,38,57,31,46,10,26,17,21,31,4
dkgB,378,417,422,360,376,194,284,221,205,482,162
dlcA,35,65,46,45,36,12,29,10,7,28,7
dld,206,240,194,159,172,175,155,170,172,357,117
dlpC,401,507,479,432,501,172,312,189,192,419,110
Dmc1,7,9,10,4,3,9,5,15,14,27,14
dmdB,37,64,76,30,46,12,29,16,22,45,10
Dml,12,4,11,10,6,10,10,5,6,16,8
DMXL2,150,223,228,169,217,88,146,71,47,181,52
DNAAF1,107,127,152,92,104,40,88,45,67,113,33
Dnah2,0,1,3,0,4,3,4,2,4,6,1
Dnah3,5,8,5,0,5,5,4,4,6,8,6
Dnah5,354,382,398,354,470,106,282,134,126,284,74
DNAH8,130,160,146,121,145,13,77,33,28,53,27
DNAH9,10,6,17,3,16,10,8,5,11,14,4
dnaJ2,6,9,4,2,7,16,11,28,25,50,0
Dnajb12,94,137,126,90,128,56,76,57,45,105,26
dnajb14,35,41,36,24,15,20,14,9,13,26,14
DNAJB2,47,60,38,40,43,36,43,34,39,69,29
Dnajb4,126,162,161,106,122,64,68,57,63,124,43
Dnajb8,197,192,182,189,180,31,93,59,58,100,41
Dnajb9,53,64,64,29,42,15,42,19,19,59,17
Dnajc12,64,85,109,84,92,34,57,37,36,78,22
DNAJC17,47,35,37,46,54,31,38,36,30,69,21
dnajc21,29,40,30,42,52,13,28,16,22,40,21
Dnajc28,117,175,160,168,136,34,112,40,49,108,36
DNAJC5B,23,27,17,16,19,7,10,3,9,8,3
Dnajc9,30,38,43,37,33,18,18,8,15,35,17
dnj-20,68,95,129,59,79,48,68,40,48,137,32
dnm1l,16,24,21,18,17,9,11,5,1,15,7
Dnm2,4,4,8,9,9,13,7,4,6,21,6
DODA,368,388,372,309,334,209,249,223,212,376,115
Dpagt1,228,306,303,198,243,114,168,111,105,228,73
DPOL,63,91,75,117,154,48,123,57,59,124,45
DPP7,35,36,22,25,26,4,11,9,8,14,8
DPP8,55,110,94,89,84,55,63,54,59,110,37
DRC3,427,452,491,483,565,153,360,155,173,343,89
drc7,21,15,19,19,27,28,35,36,43,77,31
DRM2,32,45,21,22,24,11,19,7,16,34,15
drp35,347,372,386,351,307,154,205,161,193,286,98
DRP3B,7,13,17,9,17,5,21,7,10,31,6
DRS2,20,20,12,20,19,10,9,14,13,38,11
dsaVM,216,322,281,179,256,123,147,139,169,312,116
DSP4,84,81,81,76,80,31,53,27,25,69,17
DTC,108,160,138,127,156,78,102,58,73,128,37
Dtd1,25,34,30,23,32,11,22,4,10,10,2
dthadh,85,109,99,64,106,27,72,18,35,39,15
DTX3,27,37,42,55,73,24,32,22,31,56,20
DTX36,129,203,186,107,131,47,86,69,67,141,43
Dtx3l,149,196,192,138,122,41,76,41,44,84,32
DTX47,112,148,163,176,206,77,130,78,85,175,60
DTX8,79,113,127,77,113,30,85,48,43,92,30
DUS3,41,49,42,36,30,16,23,18,21,47,17
dusp1-a,20,35,31,57,63,17,35,21,22,30,13
DUSP5,62,88,106,26,72,29,42,21,20,52,16
DUSP9,25,35,37,20,41,13,26,22,18,46,16
dVPE,136,184,179,128,152,88,93,73,75,138,46
dxs,34,56,58,80,131,66,112,71,77,146,40
Dync1h1,170,212,233,146,170,73,112,55,56,113,41
Dynll2,165,169,181,176,139,98,110,96,92,165,78
Dynlrb1,183,114,103,124,182,37,110,59,74,104,31
EB1C,22,29,26,32,46,12,33,13,9,30,5
ebh,413,530,490,403,540,278,343,293,295,502,151
EBP1,296,364,321,333,452,157,259,165,178,317,93
EBP2,209,225,173,165,133,38,83,61,45,106,29
ECA1,333,375,431,303,318,153,212,131,131,290,112
ECE2,67,90,69,54,67,14,48,18,23,38,18
Ech1,138,175,205,133,168,60,101,59,51,129,49
ECHIA,159,140,91,82,121,27,72,31,25,49,27
eco47IIM,62,89,111,70,123,45,79,38,79,106,38
ECU01_0970,7,17,11,12,26,15,9,12,18,28,8
