Gene model,E-value
SymbC1.scaffold1.1207,5.72E-50
SymbC1.scaffold1.1208,1.63E-139
SymbC1.scaffold1.121,1.24E-35
SymbC1.scaffold1.1212,1.40E-16
SymbC1.scaffold1.1213,3.77E-132
SymbC1.scaffold1.1214,2.36E-20
SymbC1.scaffold1.1215,6.35E-74
SymbC1.scaffold1.122,4.50E-07
SymbC1.scaffold1.1220,1.53E-13
SymbC1.scaffold1.1223,1.96E-15
SymbC1.scaffold1.1226,1.85E-40
SymbC1.scaffold1.1227,2.49E-170
SymbC1.scaffold1.1229,0
SymbC1.scaffold1.123,5.21E-26
SymbC1.scaffold1.1232,0
SymbC1.scaffold1.1242,8.23E-42
SymbC1.scaffold1.1243,6.96E-18
SymbC1.scaffold1.1248,7.87E-13
SymbC1.scaffold1.125,1.29E-40
SymbC1.scaffold1.1250,2.25E-113
SymbC1.scaffold1.1251,3.05E-65
SymbC1.scaffold1.1252,9.24E-97
SymbC1.scaffold1.1256,5.23E-63
SymbC1.scaffold1.1257,3.44E-130
SymbC1.scaffold1.1258,8.60E-06
SymbC1.scaffold1.126,0
SymbC1.scaffold1.1261,6.33E-66
SymbC1.scaffold1.1264,9.18E-155
SymbC1.scaffold1.1266,0
SymbC1.scaffold1.1267,1.83E-56
SymbC1.scaffold1.1269,1.87E-13
SymbC1.scaffold1.1270,9.96E-105
SymbC1.scaffold1.1271,2.51E-15
SymbC1.scaffold1.1273,7.37E-76
SymbC1.scaffold1.1274,4.42E-08
SymbC1.scaffold1.1277,4.88E-47
SymbC1.scaffold1.1279,8.43E-09
SymbC1.scaffold1.128,6.53E-62
SymbC1.scaffold1.1281,0
SymbC1.scaffold1.1282,0
SymbC1.scaffold1.1284,4.10E-53
SymbC1.scaffold1.1288,4.87E-118
SymbC1.scaffold1.1289,4.15E-14
SymbC1.scaffold1.1290,9.40E-15
SymbC1.scaffold1.1293,0
SymbC1.scaffold1.1295,8.58E-54
SymbC1.scaffold1.1297,9.24E-79
SymbC1.scaffold1.1298,0
SymbC1.scaffold1.1299,9.14E-105
SymbC1.scaffold1.1301,3.22E-08
SymbC1.scaffold1.1302,4.29E-49
SymbC1.scaffold1.1306,7.37E-16
SymbC1.scaffold1.1307,2.10E-20
SymbC1.scaffold1.1308,0
SymbC1.scaffold1.1311,2.84E-59
SymbC1.scaffold1.1312,0
SymbC1.scaffold1.1316,3.09E-32
SymbC1.scaffold1.1318,5.97E-27
SymbC1.scaffold1.1319,3.83E-31
SymbC1.scaffold1.1320,3.17E-38
SymbC1.scaffold1.1321,3.33E-41
SymbC1.scaffold1.1322,0
SymbC1.scaffold1.1324,6.68E-106
SymbC1.scaffold1.1325,2.50E-126
SymbC1.scaffold1.1326,0
SymbC1.scaffold1.133,1.01E-102
SymbC1.scaffold1.1331,1.63E-141
SymbC1.scaffold1.1337,4.96E-36
SymbC1.scaffold1.1338,7.25E-21
SymbC1.scaffold1.1343,8.09E-73
SymbC1.scaffold1.1344,1.47E-104
SymbC1.scaffold1.1348,3.07E-111
SymbC1.scaffold1.1351,6.35E-22
SymbC1.scaffold1.1352,1.65E-122
SymbC1.scaffold1.1353,2.67E-128
SymbC1.scaffold1.1354,1.54E-60
SymbC1.scaffold1.1358,5.83E-22
SymbC1.scaffold1.136,2.80E-59
SymbC1.scaffold1.1364,7.41E-07
SymbC1.scaffold1.1372,3.06E-25
SymbC1.scaffold1.1374,0
SymbC1.scaffold1.1377,0
SymbC1.scaffold1.1378,0
SymbC1.scaffold1.1380,2.58E-45
SymbC1.scaffold1.1382,5.61E-76
SymbC1.scaffold1.1383,1.92E-22
SymbC1.scaffold1.1389,1.02E-70
SymbC1.scaffold1.139,1.32E-114
SymbC1.scaffold1.1394,5.10E-64
SymbC1.scaffold1.1395,6.34E-18
SymbC1.scaffold1.1398,3.48E-88
SymbC1.scaffold1.140,4.63E-70
SymbC1.scaffold1.1400,6.61E-133
SymbC1.scaffold1.1401,1.58E-56
SymbC1.scaffold1.1402,2.71E-137
SymbC1.scaffold1.1408,4.92E-17
SymbC1.scaffold1.141,1.21E-19
SymbC1.scaffold1.1412,1.11E-28
SymbC1.scaffold1.1416,1.04E-105
SymbC1.scaffold1.1417,2.86E-179
SymbC1.scaffold1.1419,1.19E-53
SymbC1.scaffold1.1420,2.54E-63
SymbC1.scaffold1.1423,0
SymbC1.scaffold1.1431,1.52E-41
SymbC1.scaffold1.1434,0
SymbC1.scaffold1.1435,2.84E-179
SymbC1.scaffold1.1438,0
SymbC1.scaffold1.144,7.07E-45
SymbC1.scaffold1.1443,1.16E-42
SymbC1.scaffold1.1444,1.97E-93
SymbC1.scaffold1.1445,9.97E-80
SymbC1.scaffold1.1446,3.28E-33
SymbC1.scaffold1.1448,1.41E-93
SymbC1.scaffold1.1451,6.55E-172
SymbC1.scaffold1.1454,2.42E-27
SymbC1.scaffold1.1455,9.50E-26
SymbC1.scaffold1.1456,5.34E-121
SymbC1.scaffold1.1457,9.18E-103
SymbC1.scaffold1.1458,1.40E-17
SymbC1.scaffold1.1460,4.40E-70
SymbC1.scaffold1.1462,0
SymbC1.scaffold1.1468,5.93E-97
SymbC1.scaffold1.1470,2.46E-98
SymbC1.scaffold1.1473,1.89E-06
SymbC1.scaffold1.1477,1.92E-69
SymbC1.scaffold1.1478,0
SymbC1.scaffold1.148,2.48E-65
SymbC1.scaffold1.1482,7.68E-23
SymbC1.scaffold1.1484,2.07E-105
SymbC1.scaffold1.1485,4.53E-18
SymbC1.scaffold1.1486,0
SymbC1.scaffold1.1495,1.62E-28
SymbC1.scaffold1.1497,3.10E-14
SymbC1.scaffold1.1501,3.33E-69
SymbC1.scaffold1.1504,7.92E-07
SymbC1.scaffold1.1506,1.59E-58
SymbC1.scaffold1.151,1.22E-23
SymbC1.scaffold1.1510,8.13E-29
SymbC1.scaffold1.1512,6.38E-19
SymbC1.scaffold1.1515,7.72E-73
SymbC1.scaffold1.152,2.16E-128
SymbC1.scaffold1.1521,2.57E-143
SymbC1.scaffold1.1523,5.02E-07
SymbC1.scaffold1.1524,9.09E-08
SymbC1.scaffold1.1525,3.63E-54
SymbC1.scaffold1.1526,3.20E-48
SymbC1.scaffold1.1527,8.87E-28
SymbC1.scaffold1.1528,1.11E-38
SymbC1.scaffold1.1533,1.87E-11
SymbC1.scaffold1.1535,1.52E-81
SymbC1.scaffold1.1536,1.67E-14
SymbC1.scaffold1.1538,1.03E-99
SymbC1.scaffold1.1539,7.64E-44
SymbC1.scaffold1.154,0
SymbC1.scaffold1.1540,1.08E-106
SymbC1.scaffold1.1543,2.96E-41
SymbC1.scaffold1.1544,2.14E-25
SymbC1.scaffold1.1545,3.03E-34
SymbC1.scaffold1.1548,7.24E-12
SymbC1.scaffold1.1549,8.40E-150
SymbC1.scaffold1.155,3.87E-47
SymbC1.scaffold1.1553,6.56E-67
SymbC1.scaffold1.1555,3.21E-85
SymbC1.scaffold1.1556,9.36E-73
SymbC1.scaffold1.1557,2.58E-101
SymbC1.scaffold1.1558,1.09E-50
SymbC1.scaffold1.156,1.35E-108
SymbC1.scaffold1.1561,2.47E-71
SymbC1.scaffold1.1567,2.18E-45
SymbC1.scaffold1.1568,6.59E-36
SymbC1.scaffold1.1569,2.14E-80
SymbC1.scaffold1.1572,0
SymbC1.scaffold1.1576,3.01E-56
SymbC1.scaffold1.1579,1.86E-125
SymbC1.scaffold1.158,6.33E-67
SymbC1.scaffold1.1581,8.55E-40
SymbC1.scaffold1.1586,2.54E-46
SymbC1.scaffold1.1591,2.66E-13
SymbC1.scaffold1.1596,8.74E-90
SymbC1.scaffold1.1598,1.50E-32
SymbC1.scaffold1.1600,9.95E-60
SymbC1.scaffold1.1601,1.33E-11
SymbC1.scaffold1.1604,0
SymbC1.scaffold1.1606,8.59E-27
SymbC1.scaffold1.1607,5.04E-99
SymbC1.scaffold1.161,1.64E-178
SymbC1.scaffold1.1612,1.90E-99
SymbC1.scaffold1.1615,0
SymbC1.scaffold1.1619,1.14E-28
SymbC1.scaffold1.1620,1.04E-178
SymbC1.scaffold1.1621,2.48E-94
SymbC1.scaffold1.1627,3.31E-56
SymbC1.scaffold1.1629,1.08E-43
SymbC1.scaffold1.163,1.29E-28
SymbC1.scaffold1.1630,1.03E-154
SymbC1.scaffold1.1631,6.72E-47
SymbC1.scaffold1.1634,9.27E-121
SymbC1.scaffold1.1641,0
SymbC1.scaffold1.1642,1.42E-47
SymbC1.scaffold1.1648,6.46E-49
SymbC1.scaffold1.1649,0
SymbC1.scaffold1.165,8.98E-35
SymbC1.scaffold1.1655,2.07E-24
SymbC1.scaffold1.1656,7.09E-32
SymbC1.scaffold1.1659,0
SymbC1.scaffold1.1660,2.75E-57
SymbC1.scaffold1.1661,7.62E-07
SymbC1.scaffold1.1662,1.66E-13
SymbC1.scaffold1.1664,1.95E-137
SymbC1.scaffold1.1665,0
SymbC1.scaffold1.1666,1.01E-12
SymbC1.scaffold1.1667,1.79E-07
SymbC1.scaffold1.1668,2.06E-119
SymbC1.scaffold1.1669,0
SymbC1.scaffold1.167,3.34E-14
SymbC1.scaffold1.1670,0
SymbC1.scaffold1.1671,2.02E-74
SymbC1.scaffold1.1674,6.36E-67
SymbC1.scaffold1.1679,6.76E-63
SymbC1.scaffold1.1683,9.63E-37
SymbC1.scaffold1.1686,6.13E-45
SymbC1.scaffold1.1687,0
SymbC1.scaffold1.1690,1.62E-77
SymbC1.scaffold1.1694,1.38E-06
SymbC1.scaffold1.1698,4.57E-74
SymbC1.scaffold1.1699,0
SymbC1.scaffold1.1700,0
SymbC1.scaffold1.1705,1.30E-84
SymbC1.scaffold1.1706,5.25E-57
SymbC1.scaffold1.171,2.14E-16
SymbC1.scaffold1.1715,1.21E-35
SymbC1.scaffold1.1716,8.91E-150
SymbC1.scaffold1.1718,0
SymbC1.scaffold1.1719,1.87E-41
SymbC1.scaffold1.172,5.12E-74
SymbC1.scaffold1.1725,4.04E-19
SymbC1.scaffold1.1726,5.51E-163
SymbC1.scaffold1.1730,3.99E-69
SymbC1.scaffold1.1734,6.72E-19
SymbC1.scaffold1.1735,3.42E-19
SymbC1.scaffold1.1737,5.68E-32
SymbC1.scaffold1.1738,4.03E-08
SymbC1.scaffold1.1741,2.83E-64
SymbC1.scaffold1.1744,1.16E-18
SymbC1.scaffold1.1745,1.18E-46
SymbC1.scaffold1.1749,5.01E-72
SymbC1.scaffold1.175,9.09E-12
SymbC1.scaffold1.1750,1.72E-126
SymbC1.scaffold1.1752,4.21E-62
SymbC1.scaffold1.1753,6.87E-88
SymbC1.scaffold1.1754,2.84E-39
SymbC1.scaffold1.1755,4.58E-49
SymbC1.scaffold1.1757,1.36E-25
SymbC1.scaffold1.1758,4.52E-25
SymbC1.scaffold1.1760,9.96E-10
SymbC1.scaffold1.1761,1.45E-10
SymbC1.scaffold1.1763,1.32E-11
SymbC1.scaffold1.1767,7.19E-115
SymbC1.scaffold1.1768,1.03E-74
SymbC1.scaffold1.1769,5.35E-74
SymbC1.scaffold1.1772,1.94E-164
SymbC1.scaffold1.1775,1.23E-54
SymbC1.scaffold1.1777,2.36E-132
SymbC1.scaffold1.1778,4.50E-47
SymbC1.scaffold1.1780,3.73E-24
SymbC1.scaffold1.1781,4.89E-44
SymbC1.scaffold1.1785,2.15E-44
SymbC1.scaffold1.1788,2.28E-37
SymbC1.scaffold1.1789,3.19E-10
SymbC1.scaffold1.1792,0
SymbC1.scaffold1.1793,2.98E-93
SymbC1.scaffold1.1794,8.44E-10
SymbC1.scaffold1.1799,2.49E-47
SymbC1.scaffold1.1800,1.26E-119
SymbC1.scaffold1.1803,5.36E-82
SymbC1.scaffold1.1809,2.79E-98
SymbC1.scaffold1.1811,1.11E-107
SymbC1.scaffold1.1817,1.91E-10
SymbC1.scaffold1.1819,1.30E-60
SymbC1.scaffold1.1820,0
SymbC1.scaffold1.1827,2.27E-20
SymbC1.scaffold1.1828,3.60E-14
SymbC1.scaffold1.1829,2.07E-66
SymbC1.scaffold1.1830,3.17E-23
SymbC1.scaffold1.1836,4.58E-29
SymbC1.scaffold1.1837,0
SymbC1.scaffold1.1839,4.38E-13
SymbC1.scaffold1.1841,4.81E-132
SymbC1.scaffold1.1843,6.81E-161
SymbC1.scaffold1.1844,4.95E-14
SymbC1.scaffold1.1845,1.29E-58
SymbC1.scaffold1.1846,0
SymbC1.scaffold1.1847,2.47E-93
SymbC1.scaffold1.1856,7.63E-29
SymbC1.scaffold1.1859,3.77E-112
SymbC1.scaffold1.1863,5.59E-08
SymbC1.scaffold1.1864,2.43E-32
SymbC1.scaffold1.1866,1.89E-06
SymbC1.scaffold1.1871,1.67E-20
SymbC1.scaffold1.1872,3.35E-45
SymbC1.scaffold1.1873,1.05E-13
SymbC1.scaffold1.1874,7.54E-25
SymbC1.scaffold1.1875,1.10E-91
SymbC1.scaffold1.1878,0
SymbC1.scaffold1.1880,1.73E-75
SymbC1.scaffold1.1885,5.49E-46
SymbC1.scaffold1.1888,1.25E-42
SymbC1.scaffold1.189,2.29E-30
SymbC1.scaffold1.1890,4.74E-59
SymbC1.scaffold1.1893,4.54E-108
SymbC1.scaffold1.1899,2.09E-139
SymbC1.scaffold1.1902,3.71E-122
SymbC1.scaffold1.1904,0
SymbC1.scaffold1.1912,1.84E-46
SymbC1.scaffold1.1913,5.42E-08
SymbC1.scaffold1.1914,9.60E-68
SymbC1.scaffold1.1915,2.22E-12
SymbC1.scaffold1.1918,7.43E-10
SymbC1.scaffold1.1919,4.64E-74
SymbC1.scaffold1.1920,5.10E-172
SymbC1.scaffold1.1928,0
SymbC1.scaffold1.1931,7.33E-70
SymbC1.scaffold1.1935,6.65E-18
SymbC1.scaffold1.1943,2.51E-138
SymbC1.scaffold1.1944,1.17E-06
SymbC1.scaffold1.1946,4.78E-11
SymbC1.scaffold1.1948,1.67E-96
SymbC1.scaffold1.1949,2.48E-88
SymbC1.scaffold1.1956,5.36E-68
SymbC1.scaffold1.1959,1.02E-16
SymbC1.scaffold1.1962,8.61E-99
SymbC1.scaffold1.197,9.87E-105
SymbC1.scaffold1.1970,8.58E-43
SymbC1.scaffold1.1971,0
SymbC1.scaffold1.1975,5.87E-101
SymbC1.scaffold1.1977,2.68E-17
SymbC1.scaffold1.1979,5.55E-129
SymbC1.scaffold1.1981,6.80E-132
SymbC1.scaffold1.1984,1.56E-46
SymbC1.scaffold1.1992,2.76E-33
SymbC1.scaffold1.1995,2.57E-29
SymbC1.scaffold1.1997,1.84E-80
SymbC1.scaffold1.2,8.82E-16
SymbC1.scaffold1.2001,4.25E-06
SymbC1.scaffold1.2002,7.51E-15
SymbC1.scaffold1.2007,1.62E-89
SymbC1.scaffold1.201,1.21E-71
SymbC1.scaffold1.2011,1.27E-43
SymbC1.scaffold1.202,0
SymbC1.scaffold1.2021,1.53E-82
SymbC1.scaffold1.2022,0
SymbC1.scaffold1.2023,1.47E-48
SymbC1.scaffold1.2026,1.17E-41
SymbC1.scaffold1.2027,9.51E-24
SymbC1.scaffold1.2028,0
SymbC1.scaffold1.2029,2.54E-89
SymbC1.scaffold1.203,2.91E-13
SymbC1.scaffold1.2030,0
SymbC1.scaffold1.2033,0
SymbC1.scaffold1.2035,2.73E-08
SymbC1.scaffold1.2036,3.35E-34
SymbC1.scaffold1.2037,0
SymbC1.scaffold1.2039,9.75E-132
SymbC1.scaffold1.2040,3.90E-07
SymbC1.scaffold1.2046,4.65E-08
SymbC1.scaffold1.2048,5.64E-76
SymbC1.scaffold1.2049,1.05E-16
SymbC1.scaffold1.205,1.02E-62
SymbC1.scaffold1.2050,1.42E-146
SymbC1.scaffold1.2057,5.84E-58
SymbC1.scaffold1.2063,0
SymbC1.scaffold1.2065,4.43E-162
SymbC1.scaffold1.2066,5.78E-164
SymbC1.scaffold1.2072,1.81E-58
SymbC1.scaffold1.2073,5.39E-70
SymbC1.scaffold1.2075,2.38E-154
SymbC1.scaffold1.2082,1.12E-99
SymbC1.scaffold1.2085,4.15E-112
SymbC1.scaffold1.2088,5.81E-75
SymbC1.scaffold1.2089,1.36E-46
SymbC1.scaffold1.2093,3.57E-83
SymbC1.scaffold1.2095,8.45E-108
SymbC1.scaffold1.2096,0
SymbC1.scaffold1.2100,6.66E-104
SymbC1.scaffold1.2103,5.65E-163
SymbC1.scaffold1.2104,0
SymbC1.scaffold1.2109,9.95E-115
SymbC1.scaffold1.2110,5.15E-66
SymbC1.scaffold1.2116,1.93E-18
SymbC1.scaffold1.2117,1.39E-104
SymbC1.scaffold1.2118,1.66E-54
SymbC1.scaffold1.2119,7.30E-75
SymbC1.scaffold1.2120,7.69E-33
SymbC1.scaffold1.2121,8.57E-76
SymbC1.scaffold1.2122,7.53E-60
SymbC1.scaffold1.2125,3.71E-60
SymbC1.scaffold1.2126,4.83E-14
SymbC1.scaffold1.2129,3.60E-47
SymbC1.scaffold1.2134,0
SymbC1.scaffold1.2135,4.57E-88
SymbC1.scaffold1.2137,4.38E-124
SymbC1.scaffold1.2138,1.74E-70
SymbC1.scaffold1.2140,1.15E-31
SymbC1.scaffold1.2145,9.87E-131
SymbC1.scaffold1.2147,2.05E-22
SymbC1.scaffold1.215,6.73E-52
SymbC1.scaffold1.2153,3.31E-11
SymbC1.scaffold1.2154,1.20E-06
SymbC1.scaffold1.2155,4.18E-26
SymbC1.scaffold1.2156,5.04E-13
SymbC1.scaffold1.2157,7.36E-37
SymbC1.scaffold1.2162,1.04E-44
SymbC1.scaffold1.2163,1.02E-45
SymbC1.scaffold1.2169,1.21E-61
SymbC1.scaffold1.2171,4.74E-09
SymbC1.scaffold1.2177,1.15E-21
SymbC1.scaffold1.2179,7.01E-136
SymbC1.scaffold1.2180,4.80E-68
SymbC1.scaffold1.2183,2.13E-40
SymbC1.scaffold1.2193,7.00E-24
SymbC1.scaffold1.2194,2.56E-37
SymbC1.scaffold1.22,7.96E-50
SymbC1.scaffold1.2202,1.84E-17
SymbC1.scaffold1.2203,2.44E-68
SymbC1.scaffold1.2204,3.99E-143
SymbC1.scaffold1.2206,2.27E-35
SymbC1.scaffold1.2207,7.87E-53
SymbC1.scaffold1.221,2.43E-49
SymbC1.scaffold1.2213,3.19E-38
SymbC1.scaffold1.2215,1.76E-48
SymbC1.scaffold1.2217,2.24E-151
SymbC1.scaffold1.2220,5.17E-169
SymbC1.scaffold1.2221,7.16E-125
SymbC1.scaffold1.2223,3.60E-52
SymbC1.scaffold1.2224,1.04E-174
SymbC1.scaffold1.2226,0
SymbC1.scaffold1.2228,4.06E-123
SymbC1.scaffold1.2229,0
SymbC1.scaffold1.224,2.02E-52
SymbC1.scaffold1.2240,2.55E-34
SymbC1.scaffold1.2241,9.54E-41
SymbC1.scaffold1.2243,5.18E-33
SymbC1.scaffold1.2246,1.27E-169
SymbC1.scaffold1.2248,1.08E-160
SymbC1.scaffold1.225,0
SymbC1.scaffold1.2250,0
SymbC1.scaffold1.2252,3.28E-45
SymbC1.scaffold1.2253,6.34E-41
SymbC1.scaffold1.2254,6.17E-12
SymbC1.scaffold1.2255,1.50E-25
SymbC1.scaffold1.2256,1.31E-38
SymbC1.scaffold1.2257,2.27E-10
SymbC1.scaffold1.2258,2.05E-84
SymbC1.scaffold1.2263,5.06E-07
SymbC1.scaffold1.2265,0
SymbC1.scaffold1.2267,0
SymbC1.scaffold1.2268,8.46E-52
SymbC1.scaffold1.2276,5.72E-84
SymbC1.scaffold1.2277,8.04E-43
SymbC1.scaffold1.2278,2.97E-50
SymbC1.scaffold1.228,2.22E-23
SymbC1.scaffold1.2280,1.78E-70
SymbC1.scaffold1.2284,0
SymbC1.scaffold1.2285,2.62E-13
SymbC1.scaffold1.2286,2.60E-14
SymbC1.scaffold1.2291,2.15E-131
SymbC1.scaffold1.2295,2.05E-41
SymbC1.scaffold1.2296,3.58E-28
SymbC1.scaffold1.2297,3.50E-25
SymbC1.scaffold1.2299,1.28E-43
SymbC1.scaffold1.2300,2.89E-10
SymbC1.scaffold1.2302,1.87E-49
SymbC1.scaffold1.231,3.03E-52
SymbC1.scaffold1.2310,4.45E-53
SymbC1.scaffold1.2312,9.17E-18
SymbC1.scaffold1.2313,2.65E-09
SymbC1.scaffold1.2315,5.20E-11
SymbC1.scaffold1.2316,3.16E-45
SymbC1.scaffold1.232,5.29E-65
SymbC1.scaffold1.233,2.41E-120
SymbC1.scaffold1.2332,1.36E-113
SymbC1.scaffold1.2335,0
SymbC1.scaffold1.234,0
SymbC1.scaffold1.2340,1.23E-45
SymbC1.scaffold1.2344,0
SymbC1.scaffold1.2347,1.85E-67
SymbC1.scaffold1.2348,1.84E-105
SymbC1.scaffold1.2349,0
SymbC1.scaffold1.2352,9.35E-47
SymbC1.scaffold1.2355,7.36E-59
SymbC1.scaffold1.2359,0
SymbC1.scaffold1.236,6.91E-07
SymbC1.scaffold1.2361,8.65E-38
SymbC1.scaffold1.2363,3.65E-40
SymbC1.scaffold1.2364,2.40E-139
SymbC1.scaffold1.2365,1.50E-10
SymbC1.scaffold1.2368,0
SymbC1.scaffold1.2369,7.09E-18
SymbC1.scaffold1.237,3.35E-64
SymbC1.scaffold1.2370,6.05E-75
SymbC1.scaffold1.2371,3.59E-27
SymbC1.scaffold1.2373,0
SymbC1.scaffold1.2374,6.18E-51
SymbC1.scaffold1.2375,3.87E-06
SymbC1.scaffold1.238,9.33E-132
SymbC1.scaffold1.2381,1.10E-86
SymbC1.scaffold1.2383,2.03E-53
SymbC1.scaffold1.2384,2.14E-113
SymbC1.scaffold1.2385,1.23E-18
SymbC1.scaffold1.2389,2.19E-71
SymbC1.scaffold1.239,1.02E-21
SymbC1.scaffold1.2390,1.38E-92
SymbC1.scaffold1.2391,9.74E-25
SymbC1.scaffold1.2393,5.50E-74
SymbC1.scaffold1.2394,0
SymbC1.scaffold1.2397,8.66E-50
SymbC1.scaffold1.2398,3.91E-17
SymbC1.scaffold1.24,1.02E-131
SymbC1.scaffold1.2404,0
SymbC1.scaffold1.2407,2.74E-39
SymbC1.scaffold1.241,6.00E-22
SymbC1.scaffold1.2412,4.53E-41
SymbC1.scaffold1.2415,8.40E-11
SymbC1.scaffold1.246,8.97E-56
SymbC1.scaffold1.248,6.76E-25
SymbC1.scaffold1.25,6.42E-42
SymbC1.scaffold1.253,5.82E-37
SymbC1.scaffold1.254,1.83E-175
SymbC1.scaffold1.256,0
SymbC1.scaffold1.257,0
SymbC1.scaffold1.259,3.32E-82
SymbC1.scaffold1.26,7.34E-09
SymbC1.scaffold1.261,2.54E-13
SymbC1.scaffold1.262,1.97E-30
SymbC1.scaffold1.263,3.66E-46
SymbC1.scaffold1.266,0
SymbC1.scaffold1.267,0
SymbC1.scaffold1.272,8.83E-178
SymbC1.scaffold1.276,0
SymbC1.scaffold1.278,1.67E-40
SymbC1.scaffold1.28,6.66E-06
SymbC1.scaffold1.284,7.99E-49
SymbC1.scaffold1.30,4.50E-17
SymbC1.scaffold1.301,2.75E-06
SymbC1.scaffold1.303,4.31E-50
SymbC1.scaffold1.306,1.05E-31
SymbC1.scaffold1.308,1.32E-91
SymbC1.scaffold1.309,9.96E-63
SymbC1.scaffold1.31,1.60E-08
SymbC1.scaffold1.312,5.13E-100
SymbC1.scaffold1.317,2.06E-111
SymbC1.scaffold1.319,4.59E-15
SymbC1.scaffold1.324,1.21E-06
SymbC1.scaffold1.326,1.01E-136
SymbC1.scaffold1.327,1.65E-30
SymbC1.scaffold1.329,1.63E-63
SymbC1.scaffold1.33,3.35E-15
SymbC1.scaffold1.330,0
SymbC1.scaffold1.334,4.13E-65
SymbC1.scaffold1.336,8.49E-156
SymbC1.scaffold1.337,1.64E-61
SymbC1.scaffold1.343,2.05E-110
SymbC1.scaffold1.344,5.43E-21
SymbC1.scaffold1.346,0
SymbC1.scaffold1.348,1.92E-96
SymbC1.scaffold1.349,1.29E-152
SymbC1.scaffold1.353,4.72E-61
SymbC1.scaffold1.354,1.41E-06
SymbC1.scaffold1.356,3.10E-103
SymbC1.scaffold1.357,1.18E-164
SymbC1.scaffold1.36,1.33E-141
